# eBE(cm-1)  int. (rel. X0)  beta
 451.474      0.00332      -1.06129
 476.014      0.00227      -1.35634
 500.530     -0.00157      -1.10201
 525.022      0.00002      30.75342
 549.490      0.00074      -0.33964
 573.934     -0.00074      -0.45757
 598.354      0.00143      -1.58495
 622.750      0.00147      -1.51043
 647.122      0.00059      -1.64889
 671.470     -0.00177      -1.34098
 695.794     -0.00094      -1.31714
 720.094     -0.00053      -1.24838
 744.370     -0.00035      -1.11084
 768.622     -0.00025      -1.34068
 792.850      0.00022       4.06985
 817.054      0.00090       1.99805
 841.234     -0.00045       0.49735
 865.390     -0.00062       0.74766
 889.522     -0.00028       0.13767
 913.630      0.00048      -1.64216
 937.714      0.00184      -1.30799
 961.774     -0.00017      -0.52930
 985.810     -0.00100      -1.13373
1009.822     -0.00047      -1.04654
1033.810     -0.00028      -0.85588
1057.774     -0.00020      -0.60402
1081.714     -0.00010      -5.41464
1105.630      0.00018      11.91910
1129.522      0.00037       5.90505
1153.390      0.00083      -2.86718
1177.234      0.00143      -2.26442
1201.054     -0.00079      -0.62506
1224.850     -0.00082      -0.87142
1248.622     -0.00041      -0.72237
1272.370     -0.00023      -0.50456
1296.094     -0.00018      -0.46673
1319.794     -0.00015      -0.44984
1343.470     -0.00013      -0.44908
1367.122     -0.00011      -0.44775
1390.750     -0.00010      -0.44986
1414.354     -0.00009      -0.45375
1437.934     -0.00008      -0.45872
1461.490     -0.00007      -0.46416
1485.022     -0.00007      -0.46976
1508.530     -0.00006      -0.47532
1532.014     -0.00006      -0.48071
1555.474     -0.00006      -0.48586
1578.910     -0.00005      -0.49073
1602.322     -0.00005      -0.49530
1625.710     -0.00005      -0.49950
1649.074     -0.00004      -0.50332
1672.414     -0.00004      -0.50661
1695.730     -0.00004      -0.50941
1719.022     -0.00004      -0.51209
1742.290     -0.00004      -0.51750
1765.534     -0.00005      -0.50430
1788.754     -0.00007      -0.38575
1811.950      0.00001      -3.19967
1835.122      0.00082      -0.53057
1858.270      0.00226      -0.34183
1881.394      0.00062       1.54823
1904.494     -0.00118      -0.22263
1927.570     -0.00072       0.09379
1950.622     -0.00036      -0.10782
1973.650     -0.00022      -0.23825
1996.654      0.00037      -2.00112
2019.634      0.00167      -1.55328
2042.590      0.00064      -1.67428
2065.522     -0.00100      -1.33838
2088.430     -0.00067      -1.30498
2111.314     -0.00030      -1.15970
2134.174     -0.00020      -1.05951
2157.010     -0.00016      -1.00052
2179.822     -0.00013      -0.95963
2202.610     -0.00011      -0.92258
2225.374     -0.00010      -0.89028
2248.114     -0.00009      -0.86284
2270.830     -0.00008      -0.83935
2293.522     -0.00007      -0.81914
2316.190     -0.00007      -0.80180
2338.834     -0.00006      -0.78706
2361.454     -0.00006      -0.77509
2384.050     -0.00005      -0.76591
2406.622     -0.00005      -0.75879
2429.170     -0.00005      -0.76505
2451.694     -0.00006      -0.86448
2474.194     -0.00011      -1.06945
2496.670     -0.00018      -1.13630
2519.122      0.00040      -1.47114
2541.550      0.00359      -1.31680
2563.954      0.00693      -1.26673
2586.334      0.00193      -0.99693
2608.690     -0.00058      -2.90849
2631.022     -0.00278      -1.13394
2653.330      0.00200      -1.29517
2675.614      0.00700      -1.31364
2697.874      0.00958      -0.98763
2720.110      0.01360      -0.43302
2742.322      0.00680      -0.51454
2764.510      0.00463      -2.27381
2786.674      0.00130       1.73638
2808.814     -0.00074     -12.49208
2830.930      0.00010      25.58199
2853.022     -0.00225      -0.21668
2875.090     -0.00112       0.56361
2897.134      0.00181      -1.74620
2919.154      0.00329      -1.47558
2941.150      0.00489      -0.65125
2963.122      0.00685      -1.30180
2985.070      0.00127       1.61460
3006.994      0.00128       0.67833
3028.894      0.00169      -3.03780
3050.770      0.00008      -5.22273
3072.622      0.00468       0.59357
3094.450      0.00676       0.64988
3116.254      0.00261       3.06734
3138.034     -0.00537      -0.58752
3159.790      0.00020     -18.26917
3181.522      0.00604      -0.47703
3203.230     -0.00332      -5.78447
3224.914     -0.00417      -2.51594
3246.574      0.00612      -1.04483
3268.210      0.01060      -0.81498
3289.822     -0.00186      -3.20353
3311.410      0.00310       4.53614
3332.974      0.00836       1.74944
3354.514      0.01127       0.46657
3376.030      0.00742       0.12602
3397.522      0.01138       0.83117
3418.990      0.00953       1.21791
3440.434      0.00983      -0.92624
3461.854      0.00422      -1.52371
3483.250      0.01455       0.16224
3504.622      0.01813       0.15986
3525.970      0.00761       0.67623
3547.294      0.00043      19.45894
3568.594      0.01273      -0.87585
3589.870      0.00889      -1.35249
3611.122     -0.00274       0.35990
3632.350      0.00689      -1.03571
3653.554      0.00990      -1.19700
3674.734      0.00193       0.60808
3695.890      0.00912       0.54795
3717.022      0.03840      -0.59114
3738.130      0.05943      -0.87285
3759.214      0.00577      -3.29388
3780.274     -0.00457       0.68347
3801.310      0.01609      -0.53229
3822.322      0.01848      -0.90287
3843.310     -0.00090      -6.30845
3864.274      0.00144      -2.68120
3885.214      0.00412      -2.23797
3906.130      0.02036      -1.37692
3927.022      0.02997      -0.71368
3947.890      0.00787      -0.03349
3968.734     -0.00554       1.01384
3989.554     -0.01322      -0.85503
4010.350      0.00780      -1.57817
4031.122      0.02444      -1.07160
4051.870      0.01715      -0.67951
4072.594     -0.01525      -1.35403
4093.294     -0.00413      -6.05217
4113.970      0.01654       0.26107
4134.622      0.01364      -0.74670
4155.250      0.00145       7.30800
4175.854     -0.00303      -4.05555
4196.434     -0.01178      -0.35696
4216.990     -0.00779      -0.93821
4237.522      0.00411      -3.38870
4258.030      0.00692      -3.11081
4278.514      0.01334      -1.12903
4298.974      0.02090      -0.38809
4319.410      0.00928      -0.17853
4339.822      0.00714      -0.10697
4360.210      0.00612      -1.55934
4380.574     -0.00289      -2.15997
4400.914     -0.01782      -0.28542
4421.230     -0.00731       0.20689
4441.522     -0.00001    -500.78760
4461.790      0.01312      -0.08314
4482.034     -0.00127      -3.63472
4502.254     -0.00883      -0.45531
4522.450     -0.00113      -5.33502
4542.622      0.00724      -1.37634
4562.770      0.00340      -1.40937
4582.894     -0.00680      -1.12490
4602.994      0.00108      11.42048
4623.070     -0.00343      -6.17950
4643.122      0.00845       1.15559
4663.150      0.01597      -0.85781
4683.154      0.00520       1.90526
4703.134      0.00733       0.61272
4723.090      0.00491      -1.72623
4743.022      0.01049      -1.17285
4762.930     -0.00145       2.78345
4782.814     -0.00274      -0.23330
4802.674      0.00446      -4.90677
4822.510      0.00303      -3.28111
4842.322      0.01168      -0.79744
4862.110     -0.00034     -19.06712
4881.874      0.00154       5.35459
4901.614      0.00767      -1.68302
4921.330     -0.00247       1.59932
4941.022     -0.01169      -1.49415
4960.690      0.00172       2.47095
4980.334      0.00869      -1.82522
4999.954      0.00551      -2.31673
5019.550      0.00303      -1.02092
5039.122     -0.00035     -16.66886
5058.670      0.00250       2.72648
5078.194      0.00711       0.24182
5097.694     -0.00162      -2.74819
5117.170     -0.01377      -0.90810
5136.622      0.00962      -0.87302
5156.050      0.01343      -1.13289
5175.454      0.00017      -8.51080
5194.834     -0.00906       0.51672
5214.190      0.00268      -2.10989
5233.522     -0.00138      -6.74129
5252.830     -0.00296      -4.51598
5272.114      0.00309      -4.21068
5291.374      0.00393      -5.69724
5310.610     -0.00851       0.18990
5329.822     -0.00118     -14.70665
5349.010      0.01815       0.52464
5368.174      0.00097       5.27483
5387.314     -0.01279      -0.45844
5406.430      0.00004     -15.90794
5425.522      0.00402      -0.65091
5444.590      0.00742      -0.61125
5463.634      0.00763      -0.96779
5482.654      0.00328      -0.98731
5501.650     -0.00034       7.27569
5520.622      0.00039      -7.62363
5539.570     -0.00240      -2.54096
5558.494     -0.00181      -5.54197
5577.394     -0.00235       3.41519
5596.270      0.00715      -1.61468
5615.122      0.01320      -1.01651
5633.950     -0.00006     -87.03667
5652.754     -0.00108      -6.93961
5671.534      0.00276      -1.66434
5690.290      0.00199      -5.68523
5709.022     -0.00773       1.81271
5727.730     -0.00747      -0.16636
5746.414      0.00003      26.86905
5765.074      0.00708       1.91847
5783.710     -0.00079     -16.39276
5802.322      0.00281       1.75624
5820.910      0.01763       0.24463
5839.474      0.00413       1.01702
5858.014     -0.00246       5.32728
5876.530      0.00482      -2.66926
5895.022      0.00027      35.10947
5913.490      0.00239       3.13942
5931.934      0.00371       0.08993
5950.354      0.01203      -0.86193
5968.750      0.01486      -1.53635
5987.122     -0.00095       1.39444
6005.470     -0.01800      -0.89170
6023.794     -0.01027      -0.18108
6042.094     -0.00486      -0.81902
6060.370     -0.00333      -1.91270
6078.622     -0.00058     -12.32021
6096.850      0.00584      -0.14011
6115.054     -0.00366      -1.34236
6133.234     -0.00253      -0.36902
6151.390      0.00718      -0.59111
6169.522      0.01850      -0.49630
6187.630      0.00492      -1.23273
6205.714      0.00241      -0.99820
6223.774     -0.00624       2.12011
6241.810     -0.00854      -1.25734
6259.822     -0.00136      -4.88888
6277.810      0.00960      -0.95440
6295.774      0.00662      -0.10257
6313.714     -0.00087      -3.39295
6331.630      0.00319      -3.60598
6349.522      0.00294      -0.87612
6367.390      0.00036     -10.13093
6385.234      0.00932      -1.53049
6403.054      0.00648       0.52610
6420.850     -0.00397       0.34851
6438.622     -0.01177       0.01484
6456.370     -0.00274      -0.52748
6474.094      0.01616      -0.99951
6491.794      0.00702      -0.14023
6509.470      0.00660       0.30101
6527.122     -0.00092      12.20139
6544.750     -0.00357      -1.81857
6562.354     -0.00401      -3.67054
6579.934     -0.00490      -1.14216
6597.490      0.00041     -20.29013
6615.022      0.00500      -0.08942
6632.530      0.01391       1.25011
6650.014      0.00419       1.82360
6667.474     -0.00810       1.28292
6684.910     -0.00811       1.33295
6702.322     -0.00765      -0.49250
6719.710     -0.00764       0.08832
6737.074     -0.00441      -2.70386
6754.414      0.00388       6.31628
6771.730      0.00385       5.40251
6789.022      0.00874      -1.49040
6806.290      0.00723      -3.66991
6823.534      0.01056      -0.81167
6840.754      0.00701       0.18906
6857.950      0.00728      -0.01607
6875.122     -0.00026     -21.06114
6892.270     -0.00529       0.86047
6909.394     -0.00166       0.49420
6926.494      0.00694      -0.32029
6943.570      0.02007      -1.24355
6960.622      0.01838      -1.95881
6977.650      0.00467      -2.66702
6994.654      0.00080      -1.46937
7011.634     -0.01278      -1.69835
7028.590     -0.00787      -3.11395
7045.522     -0.00335      -3.78074
7062.430      0.00398      -1.89717
7079.314      0.00371       0.85271
7096.174      0.00703      -0.58722
7113.010      0.00674      -0.39338
7129.822     -0.00979      -1.39483
7146.610      0.00436      -2.89756
7163.374      0.00556      -2.86154
7180.114     -0.00178      -2.98525
7196.830      0.00002     187.58210
7213.522      0.00342      -0.63439
7230.190     -0.01275      -0.15205
7246.834     -0.01528      -0.69296
7263.454      0.00727      -1.82965
7280.050      0.01214      -1.70559
7296.622     -0.00377      -2.20812
7313.170      0.00435       0.69563
7329.694      0.00051      27.35208
7346.194     -0.00609      -2.06944
7362.670     -0.00934      -0.73954
7379.122      0.00481      -0.68398
7395.550      0.00171      -2.57005
7411.954      0.00296      -4.18939
7428.334      0.00909      -0.71972
7444.690      0.01048      -0.67121
7461.022      0.00823      -1.39777
7477.330      0.00355      -0.50424
7493.614     -0.00612       1.33179
7509.874     -0.00486       0.75860
7526.110     -0.00127       0.76005
7542.322      0.00223       6.48094
7558.510      0.00210      10.02648
7574.674      0.00957       0.35726
7590.814      0.00718      -0.73740
7606.930     -0.00766      -0.97742
7623.022     -0.00415      -2.33298
7639.090     -0.00522       0.61506
7655.134      0.00496      -4.78134
7671.154      0.00582      -1.78615
7687.150      0.00073      12.15685
7703.122      0.00957      -0.45339
7719.070      0.00264       3.24544
7734.994      0.00376      -0.90747
7750.894      0.00301      -6.15121
7766.770     -0.00019      24.50466
7782.622      0.00993      -1.40644
7798.450      0.01029      -1.52255
7814.254     -0.00263      -3.08772
7830.034      0.00022      -3.25287
7845.790     -0.00043     -13.48139
7861.522     -0.00279      -1.45507
7877.230      0.00276      -0.96009
7892.914      0.00578      -2.30579
7908.574      0.00372      -0.49832
7924.210      0.00091      -1.09842
7939.822     -0.01187      -0.95790
7955.410     -0.00936       0.44425
7970.974      0.00224      -5.21396
7986.514      0.00171       2.70876
8002.030      0.00046      33.41795
8017.522      0.00585       1.19611
8032.990      0.00977       0.35167
8048.434     -0.00400      -2.69853
8063.854     -0.00413      -0.30110
8079.250      0.00539      -0.74758
8094.622      0.00029     -19.61532
8109.970     -0.00901       0.12699
8125.294      0.00188      -0.62389
8140.594      0.00324       0.72163
8155.870      0.00424       0.84421
8171.122      0.00864      -1.10649
8186.350     -0.00125       3.67611
8201.554     -0.00606      -0.23365
8216.734     -0.00625      -0.09653
8231.890      0.00232       8.30848
8247.022      0.00329       8.26072
8262.130     -0.00494      -2.30656
8277.214      0.00315      -3.69408
8292.274      0.01511      -1.55177
8307.310      0.00967      -1.88055
8322.322     -0.00367       0.49082
8337.310      0.00346      -0.20838
8352.274      0.00460      -1.66519
8367.214     -0.00239      -2.66885
8382.130     -0.00103      -9.61018
8397.022      0.00003     250.47663
8411.890     -0.00232      -3.97048
8426.734      0.00806      -0.22741
8441.554      0.00788      -1.05759
8456.350     -0.00108      -3.97312
8471.122     -0.00682      -1.46184
8485.870      0.00396      -1.27470
8500.594     -0.00324       4.54000
8515.294     -0.01897      -0.61678
8529.970     -0.01088      -2.07946
8544.622      0.01049       0.24677
8559.250      0.02534      -0.39705
8573.854      0.01448      -1.18912
8588.434     -0.00803      -0.35189
8602.990     -0.00696       0.58137
8617.522     -0.00222       2.15268
8632.030      0.00324       0.57172
8646.514     -0.00845      -1.36236
8660.974     -0.01000      -1.45160
8675.410      0.00051       4.12349
8689.822      0.00757      -0.74224
8704.210      0.00632      -0.68266
8718.574      0.00925      -0.61037
8732.914      0.00470      -0.10876
8747.230     -0.00736      -1.39159
8761.522     -0.00351      -1.19575
8775.790     -0.00134      -4.46908
8790.034     -0.00726      -1.33455
8804.254      0.00187      -3.87620
8818.450     -0.00067      -9.34582
8832.622     -0.00550      -2.88464
8846.770      0.00142       0.24187
8860.894      0.00768      -1.87877
8874.994      0.00548      -1.44034
8889.070     -0.00512      -1.47007
8903.122      0.00300       0.72788
8917.150      0.00604      -1.26428
8931.154     -0.00273      -0.61674
8945.134      0.00185       1.80669
8959.090     -0.00052       1.37880
8973.022     -0.00583       0.64750
8986.930      0.00087      -7.72326
9000.814      0.00711      -1.93038
9014.674      0.00730      -0.62576
9028.510      0.00590       0.24916
9042.322      0.00367      -0.35655
9056.110     -0.00321      -1.55052
9069.874      0.00392       0.64727
9083.614      0.01449      -1.93022
9097.330      0.01441      -1.44848
9111.022      0.00570      -0.71791
9124.690      0.00035      -1.77565
9138.334     -0.00919      -2.17464
9151.954     -0.00302      -2.57613
9165.550     -0.00451       1.99532
9179.122     -0.00406       0.01714
9192.670     -0.00302      -1.35357
9206.194     -0.00567       0.64288
9219.694     -0.00019      56.44063
9233.170      0.00144      -8.36807
9246.622     -0.00200       0.53558
9260.050     -0.00363      -1.33107
9273.454      0.00853      -0.09624
9286.834      0.01321      -0.56593
9300.190     -0.00180      -5.36959
9313.522      0.00039     -19.76605
9326.830      0.01100      -1.53267
9340.114      0.00171       4.98876
9353.374     -0.00450      -1.97462
9366.610      0.01070      -0.03986
9379.822      0.01614      -0.57209
9393.010      0.00605       1.95908
9406.174     -0.00449      -5.27798
9419.314     -0.00689      -1.49197
9432.430     -0.00868      -0.30632
9445.522     -0.01057       0.53896
9458.590     -0.00355       1.70612
9471.634      0.00697      -1.23715
9484.654     -0.00139      -2.16926
9497.650      0.00207       8.45168
9510.622      0.00841       0.78885
9523.570     -0.00494       0.65213
9536.494     -0.00280      -1.61018
9549.394      0.00420       1.05311
9562.270      0.00559      -0.55037
9575.122     -0.00088      -5.14585
9587.950      0.00200      -1.87205
9600.754     -0.00352       1.48702
9613.534     -0.00105      -1.72155
9626.290     -0.00769      -1.20865
9639.022     -0.00727       0.40958
9651.730      0.00359      -2.56665
9664.414      0.00010     -16.98919
9677.074     -0.00345      -4.18667
9689.710     -0.00423      -2.86717
9702.322      0.00619      -0.68528
9714.910      0.01512      -1.48261
9727.474      0.00700      -2.22668
9740.014      0.00133       6.88398
9752.530     -0.00568      -2.64618
9765.022     -0.00209      -1.69958
9777.490      0.01348      -1.46229
9789.934      0.00632      -2.19709
9802.354     -0.00588       0.94261
9814.750     -0.00278       3.86825
9827.122     -0.00767      -0.92458
9839.470     -0.00050     -11.38434
9851.794     -0.00106       7.46510
9864.094     -0.00260       1.53407
9876.370      0.00400      -0.64094
9888.622      0.00449       0.43772
9900.850     -0.00061     -15.34771
9913.054      0.00314      -0.68139
9925.234      0.00679      -0.46760
9937.390     -0.00773      -3.40305
9949.522     -0.00178     -10.47382
9961.630      0.00813      -1.52097
9973.714      0.01898      -1.45911
9985.774      0.00581      -0.74571
9997.810      0.00149      -4.40289
10009.822      0.00868       0.01358
10021.810      0.00313       2.71373
10033.774     -0.00609      -0.35374
10045.714     -0.00059      12.68533
10057.630     -0.00300       3.99459
10069.522     -0.00596       1.48316
10081.390     -0.00997      -1.36120
10093.234     -0.00420      -2.63124
10105.054      0.00255      -4.28183
10116.850      0.01036      -2.14440
10128.622      0.01676      -0.85616
10140.370      0.01937      -0.31653
10152.094      0.01481       0.24083
10163.794     -0.00692      -2.11775
10175.470     -0.01211      -0.90367
10187.122      0.00021      12.55144
10198.750      0.00883      -0.09245
10210.354      0.00623      -1.03113
10221.934     -0.00359       0.67040
10233.490      0.00428       1.16066
10245.022      0.01537      -1.08540
10256.530      0.00747      -2.27748
10268.014     -0.00225      -4.64386
10279.474     -0.01047      -0.82197
10290.910     -0.01192      -0.03822
10302.322     -0.00461       0.50403
10313.710     -0.00061       1.84634
10325.074      0.00726      -2.27215
10336.414     -0.00029      50.67173
10347.730     -0.00662       0.07812
10359.022     -0.00867      -0.97211
10370.290     -0.00117      -8.27381
10381.534     -0.00254      -1.89176
10392.754     -0.00992      -1.33983
10403.950     -0.01017      -1.13412
10415.122      0.00121      -2.99258
10426.270      0.00912      -1.77345
10437.394      0.00364      -1.61100
10448.494      0.00037       8.54596
10459.570     -0.00104      -8.16230
10470.622      0.01084      -0.46445
10481.650      0.01649      -0.03958
10492.654      0.00558       1.45877
10503.634      0.00007       5.06543
10514.590     -0.00708      -0.49282
10525.522     -0.00750      -1.87734
10536.430     -0.00276       0.77368
10547.314      0.00108      -3.00276
10558.174      0.00467      -1.26098
10569.010      0.00929      -1.63177
10579.822     -0.00792       0.12935
10590.610     -0.00559       0.51067
10601.374     -0.00260       3.64276
10612.114      0.00107      -5.74122
10622.830      0.00435      -0.23499
10633.522      0.00475       2.91802
10644.190     -0.00109     -16.51447
10654.834     -0.00414       0.11154
10665.454     -0.00085      17.11751
10676.050      0.00703      -1.19355
10686.622      0.00596       3.52351
10697.170     -0.00005    -654.10829
10707.694     -0.00148      -2.90803
10718.194      0.00179      -8.36692
10728.670      0.00421      -2.72304
10739.122     -0.00256      -0.50140
10749.550      0.00016     -17.21212
10759.954      0.01233      -1.04102
10770.334      0.01004       0.16501
10780.690      0.00024       5.78710
10791.022     -0.00595       0.37211
10801.330     -0.00626      -0.71331
10811.614     -0.00442      -0.86630
10821.874     -0.00689       0.04050
10832.110     -0.00951      -0.35407
10842.322     -0.00173       4.00984
10852.510      0.00806      -2.47056
10862.674      0.01281      -1.51951
10872.814      0.00417      -1.96629
10882.930     -0.00578      -0.35806
10893.022     -0.00724      -0.83027
10903.090      0.00001    1193.27316
10913.134      0.00424       1.58416
10923.154      0.00027     -17.10246
10933.150      0.00140      -9.73753
10943.122      0.00525      -0.02461
10953.070      0.00156       4.20789
10962.994     -0.00555      -1.89067
10972.894     -0.00564      -1.35152
10982.770     -0.00204       0.53444
10992.622      0.00476      -1.99158
11002.450      0.00436      -0.50009
11012.254      0.00503       0.10240
11022.034      0.00794      -1.60984
11031.790     -0.00166       5.88854
11041.522      0.00584      -3.12433
11051.230      0.00990      -1.06000
11060.914     -0.00246      -7.35202
11070.574     -0.00502      -3.29964
11080.210     -0.00660      -2.58071
11089.822     -0.00298       0.93375
11099.410      0.00449      -2.59557
11108.974      0.00235      -2.88401
11118.514      0.00691      -1.17073
11128.030      0.00103      11.12774
11137.522     -0.00170      -6.14632
11146.990     -0.00022      -5.83911
11156.434      0.01179      -1.14423
11165.854      0.00747      -0.98037
11175.250      0.00395       0.73497
11184.622     -0.00254      -2.08310
11193.970      0.00293      -4.09246
11203.294      0.00541      -1.15099
11212.594      0.00580       1.74664
11221.870     -0.00682      -3.58467
11231.122     -0.00803      -0.67833
11240.350     -0.01067       0.16896
11249.554     -0.00995      -1.05447
11258.734      0.00414       2.42082
11267.890      0.01032      -0.86706
11277.022      0.01414      -1.49655
11286.130      0.00604      -1.04207
11295.214     -0.00899      -0.06658
11304.274     -0.00938      -0.49265
11313.310     -0.00596      -0.78159
11322.322     -0.00117       4.92093
11331.310      0.00158      -1.69178
11340.274      0.00591      -0.65485
11349.214      0.01093      -0.51275
11358.130      0.00346       0.30194
11367.022     -0.00831      -1.44971
11375.890     -0.00454      -2.23993
11384.734      0.01253      -1.48891
11393.554      0.01400      -1.79336
11402.350      0.00278      -0.72815
11411.122     -0.00885      -1.57729
11419.870     -0.00726      -1.90706
11428.594      0.00384       1.57666
11437.294      0.00114      -2.77888
11445.970     -0.00055      17.50247
11454.622      0.00134     -10.56836
11463.250      0.00616      -1.34603
11471.854     -0.00536      -0.53268
11480.434     -0.00323      -3.05035
11488.990      0.00518       2.71032
11497.522      0.00628       1.28865
11506.030      0.00057      10.15603
11514.514     -0.00807      -2.01440
11522.974     -0.00983      -1.13612
11531.410     -0.00675       0.31183
11539.822     -0.00541      -1.41980
11548.210      0.00035      21.26317
11556.574      0.00784      -0.38436
11564.914      0.01170      -0.94679
11573.230      0.00947      -1.73094
11581.522      0.00713      -2.53503
11589.790      0.00354       0.01546
11598.034     -0.00377      -6.57224
11606.254      0.00841       0.69808
11614.450      0.00822      -1.30521
11622.622     -0.00147       3.71721
11630.770     -0.00690      -0.88076
11638.894     -0.01033      -1.21681
11646.994     -0.00478      -1.34073
11655.070      0.00465      -1.35602
11663.122      0.01572      -0.27213
11671.150      0.01498      -0.38465
11679.154      0.00784      -1.22154
11687.134      0.00210      -3.47034
11695.090     -0.00268       4.82685
11703.022     -0.00281       6.14162
11710.930     -0.00944       0.54622
11718.814     -0.00613      -0.96245
11726.674     -0.00216      -4.42531
11734.510      0.00126      10.66147
11742.322      0.00810       0.74203
11750.110     -0.00003     -46.74392
11757.874      0.00026      43.61875
11765.614      0.00281       5.02901
11773.330      0.00003      -5.61359
11781.022      0.00199      -6.78474
11788.690      0.00205      -5.78780
11796.334      0.00639      -1.46894
11803.954      0.00025      26.26702
11811.550     -0.00256      -4.12301
11819.122      0.00178      -5.33210
11826.670     -0.00098      13.29931
11834.194     -0.00606       2.13249
11841.694     -0.01269      -0.02474
11849.170     -0.00205       1.70271
11856.622      0.01192      -0.31420
11864.050      0.01436      -0.22626
11871.454      0.00559       0.81314
11878.834     -0.01027      -1.74553
11886.190     -0.01045      -1.13188
11893.522      0.00458      -0.91953
11900.830      0.01700      -1.60670
11908.114      0.01556      -2.03925
11915.374     -0.00193       0.10548
11922.610     -0.01419      -1.62041
11929.822     -0.00553      -4.39922
11937.010      0.01113       1.85393
11944.174      0.01915       0.27759
11951.314      0.01447      -0.40921
11958.430      0.01480      -0.88148
11965.522      0.00610      -3.44306
11972.590      0.00373      -7.08317
11979.634     -0.00282       3.63597
11986.654      0.00142      -3.15324
11993.650      0.01171      -0.57841
12000.622      0.01289       0.34995
12007.570      0.00694       2.77528
12014.494      0.01123      -0.86913
12021.394      0.02153      -1.08199
12028.270      0.03017      -0.60327
12035.122      0.03580      -0.28452
12041.950      0.01875       0.53139
12048.754      0.00114      14.51108
12055.534      0.00573      -0.01026
12062.290     -0.00011     -66.54357
12069.022      0.01099       0.21773
12075.730      0.02293      -0.54425
12082.414      0.01368      -0.54098
12089.074      0.00855       0.13982
12095.710      0.00050      -6.63949
12102.322      0.00020     -57.27435
12108.910      0.01601      -1.08585
