# eBE(cm-1)  int. (rel. X0)  beta
11306.588      0.04663      -0.89685
11315.953      0.02864      -1.07895
11325.282      0.01678      -1.03491
11334.574      0.00870      -0.16472
11343.829      0.00577       1.32309
11353.048      0.00631       2.30508
11362.229      0.00685       2.64801
11371.374      0.00413       3.41831
11380.482     -0.00159       0.26734
11389.553     -0.00277       1.84438
11398.588     -0.00223       1.21852
11407.585     -0.00260      -0.48148
11416.546     -0.00149      -1.65495
11425.470      0.00025       6.85298
11434.357      0.00069      -1.43408
11443.208      0.00110      -3.05757
11452.021      0.00121      -1.53383
11460.798      0.00098       0.52413
11469.538      0.00116       1.63602
11478.241      0.00194      -0.24140
11486.908      0.00200      -0.45783
11495.537      0.00146      -0.72763
11504.130      0.00303      -0.90853
11512.686      0.00317      -1.00028
11521.205      0.00169      -0.42739
11529.688      0.00151       1.00862
11538.133      0.00247       0.30453
11546.542      0.00205      -0.37417
11554.914      0.00068       2.12245
11563.249      0.00072       4.97330
11571.548      0.00221       0.68104
11579.809      0.00216       0.51937
11588.034      0.00165       0.62536
11596.222      0.00201       0.46128
11604.373      0.00256       0.02097
11612.488      0.00228      -0.22908
11620.565      0.00068       1.74608
11628.606      0.00063       3.62575
11636.610      0.00154       1.00648
11644.577      0.00188      -0.80806
11652.508      0.00190      -1.89805
11660.401      0.00200      -1.21679
11668.258      0.00202      -0.41103
11676.078      0.00105      -0.37232
11683.861      0.00026       1.91318
11691.608      0.00099       0.29253
11699.317      0.00239      -0.76816
11706.990      0.00218      -1.05414
11714.626      0.00010     -12.80260
11722.225     -0.00055      -2.63494
11729.788      0.00044       1.66069
11737.313      0.00203      -0.38122
11744.802      0.00162       0.23780
11752.254      0.00098       2.86372
11759.669      0.00133       1.42587
11767.048      0.00130       1.24009
11774.389      0.00082       0.53811
11781.694      0.00027       2.15943
11788.962      0.00012      12.44714
11796.193      0.00090       2.22463
11803.388      0.00058       1.70514
11810.545      0.00076       0.79109
11817.666      0.00110       0.06160
11824.750      0.00099      -0.70910
11831.797      0.00085      -1.78262
11838.808      0.00126      -0.91029
11845.781      0.00163      -0.81096
11852.718      0.00145      -0.03374
11859.618      0.00030       2.93017
11866.481      0.00042       1.75606
11873.308      0.00110      -1.14784
11880.097      0.00087      -0.59251
11886.850      0.00078       0.59512
11893.566      0.00117      -1.03048
11900.245      0.00143      -0.30495
11906.888      0.00120      -1.31071
11913.493      0.00192      -2.30375
11920.062      0.00257      -1.73830
11926.594      0.00286      -0.69257
11933.089      0.00184       0.20064
11939.548      0.00102       1.32158
11945.969      0.00182      -0.06090
11952.354      0.00199      -0.22164
11958.702      0.00122       0.31945
11965.013      0.00105       0.71868
11971.288      0.00115       0.84906
11977.525      0.00048       1.96886
11983.726      0.00020       8.89473
11989.890      0.00039       4.45625
11996.017      0.00110       0.93839
12002.108      0.00163       1.42513
12008.161      0.00149      -0.27790
12014.178      0.00163      -1.26231
12020.158      0.00139      -1.12141
12026.101      0.00074      -2.66498
12032.008      0.00067      -3.64561
12037.877      0.00129      -1.14657
12043.710      0.00157       0.31998
12049.506      0.00131       0.84232
12055.265      0.00157       0.48503
12060.988      0.00205       0.10126
12066.673      0.00227      -0.15433
12072.322      0.00213      -0.52004
12077.934      0.00136      -0.79508
12083.509      0.00056       0.58555
12089.048      0.00079      -0.61371
12094.549      0.00199      -0.69855
12100.014      0.00248      -0.57903
12105.442      0.00238      -0.90103
12110.833      0.00197      -1.99429
12116.188      0.00143      -1.65257
12121.505      0.00060       2.10406
12126.786     -0.00014     -20.27209
12132.030     -0.00092      -2.34807
12137.237     -0.00117      -0.74810
12142.408     -0.00031      -1.78180
12147.541      0.00153      -0.03641
12152.638      0.00202      -0.18919
12157.698      0.00033       5.59840
12162.721     -0.00016     -24.75655
12167.708      0.00055       8.76277
12172.657      0.00109       1.48638
12177.570      0.00169      -1.38837
12182.446      0.00241      -0.98432
12187.285      0.00311      -0.40779
12192.088      0.00249       0.70095
12196.853      0.00066       4.63747
12201.582      0.00001      63.28914
12206.274      0.00024      -3.35976
12210.929      0.00036      -1.35142
12215.548      0.00036       0.73575
12220.129      0.00060       2.78857
12224.674      0.00131       2.09509
12229.182      0.00104       1.68219
12233.653      0.00068      -0.21251
12238.088      0.00097      -0.85232
12242.485      0.00091      -0.62969
12246.846      0.00047      -1.41766
12251.170      0.00062      -1.72477
12255.457      0.00118      -0.33129
12259.708      0.00138       0.28470
12263.921      0.00078       1.06426
12268.098     -0.00017      -8.19786
12272.238      0.00070       2.94123
12276.341      0.00216       0.84197
12280.408      0.00326       0.00897
12284.437      0.00266      -0.62624
12288.430      0.00162      -0.57225
12292.386      0.00164      -0.40275
12296.305      0.00231      -0.09518
12300.188      0.00269       0.25545
12304.033      0.00260       0.57161
12307.842      0.00315       0.40784
12311.614      0.00375       0.00110
12315.349      0.00327      -0.37677
12319.048      0.00316       0.07975
12322.709      0.00288       0.59707
12326.334      0.00333       0.74870
12329.922      0.00307       1.05734
12333.473      0.00248       1.59003
12336.988      0.00278       0.97399
12340.465      0.00312      -0.00947
12343.906      0.00381      -1.01092
12347.310      0.00494      -1.06623
12350.677      0.00543      -0.92178
12354.008      0.00450      -0.49313
12357.301      0.00327       0.48995
12360.558      0.00375       0.68120
12363.778      0.00543       0.13414
12366.961      0.00643      -0.10271
12370.108      0.00759      -0.27760
12373.217      0.00836      -0.16827
12376.290      0.00859      -0.08932
12379.326      0.00863      -0.17403
12382.325      0.00952      -0.23108
12385.288      0.01209      -0.00199
12388.213      0.01450       0.09620
12391.102      0.01627      -0.11868
12393.954      0.01569      -0.30117
12396.769      0.01403      -0.31647
12399.548      0.01437      -0.23483
12402.289      0.01720      -0.03539
12404.994      0.02109       0.04970
12407.662      0.02590       0.12798
12410.293      0.03032       0.03421
12412.888      0.03187      -0.18683
12415.445      0.02731      -0.37913
12417.966      0.02126      -0.50568
12420.450      0.01820      -0.62270
12422.897      0.01768      -0.49539
12425.308      0.02099      -0.24126
12427.681      0.02971      -0.10726
12430.018      0.04068      -0.08755
12432.318      0.04913      -0.16869
12434.581      0.05094      -0.24119
12436.808      0.05117      -0.28507
12438.997      0.05805      -0.25023
12441.150      0.07766      -0.19979
12443.266      0.11024      -0.19033
12445.345      0.15496      -0.18119
12447.388      0.20906      -0.17782
12449.393      0.26862      -0.16566
12451.362      0.33649      -0.13118
12453.294      0.41933      -0.05987
12455.189      0.52393       0.01132
12457.048      0.65649       0.03276
12458.869      0.78107       0.00075
12460.654      0.84229      -0.03345
12462.402      0.83677      -0.02449
12464.113      0.82284       0.04631
12465.788      0.86310       0.15414
12467.425      0.95714       0.21347
12469.026      1.00000       0.14799
12470.590      0.87092       0.03164
12472.117      0.62804      -0.05864
12473.608      0.41752      -0.09470
12475.061      0.29065      -0.08987
12476.478      0.22566      -0.07817
12477.858      0.19710      -0.09027
12479.201      0.18323      -0.07416
12480.508      0.17182      -0.03540
12481.777      0.16686       0.00800
12483.010      0.17243       0.00959
12484.206      0.19079      -0.02394
12485.365      0.21990      -0.02671
12486.488      0.25027      -0.04838
12487.573      0.25867      -0.09477
12488.622      0.23128      -0.15298
12489.634      0.18600      -0.19178
12490.609      0.13980      -0.26699
12491.548      0.09944      -0.41218
12492.449      0.06842      -0.48891
12493.314      0.04640      -0.56695
12494.142      0.03231      -0.61997
12494.933      0.02346      -0.37396
12495.688      0.01833       0.21294
12496.405      0.01406       0.23120
12497.086      0.00936      -0.27208
12497.730      0.00602      -1.30655
12498.337      0.00608      -1.88770
12498.908      0.00739      -1.43530
12499.441      0.00639      -1.50226
12499.938      0.00533      -1.45343
12500.398      0.00491      -0.62437
12500.821      0.00437       0.62404
12501.208      0.00436       2.01163
12501.557      0.00698       2.34715
12501.870      0.01131       1.96475
12502.146      0.01522       1.53895
12502.385      0.01794       1.15267
12502.588      0.01984       0.76795
12502.753      0.01985       0.52801
12502.882      0.01651       0.37961
12502.974      0.01041       0.29206
12503.029      0.00370       0.20878
12503.048      0.00000       0.42216
