Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux)	10001182
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
AsymmetricTop	Excited	29	O-	2	Ground	30	O-	4	12160.5136896911	2.06731946652734E-9	12909.3322294338	748.818539742737	0.00123108735971071	11.7677873345654	0	nP7,24(30)	Excited v=1 29  4 26 - Ground v=0 30  7 24
AsymmetricTop	Excited	29	O+	3	Ground	30	O+	4	12160.5139699101	2.06731539896609E-9	12909.3325096528	748.818539742738	0.00123108493748071	11.7677649943227	0	nP7,23(30)	Excited v=1 29  4 25 - Ground v=0 30  7 23
AsymmetricTop	Excited	28	O-	2	Ground	29	O-	4	12160.8485685816	1.96913678827143E-9	12889.6850312722	728.836462690614	0.0010452344508523	10.3426705064539	0	nP7,23(29)	Excited v=1 28  4 25 - Ground v=0 29  7 23
AsymmetricTop	Excited	28	O+	3	Ground	29	O+	4	12160.8487809034	1.96913385250674E-9	12889.685243594	728.836462690615	0.0010452328925236	10.34265562841	0	nP7,22(29)	Excited v=1 28  4 24 - Ground v=0 29  7 22
AsymmetricTop	Excited	27	O-	2	Ground	28	O-	4	12161.1952939457	1.85758237605376E-9	12870.7158070011	709.520513055412	0.000882281941739444	9.04848096156357	0	nP7,22(28)	Excited v=1 27  4 24 - Ground v=0 28  7 22
AsymmetricTop	Excited	27	O+	3	Ground	28	O+	4	12161.1954532105	1.85758029857558E-9	12870.7159662659	709.520513055412	0.000882280955015247	9.04847119744712	0	nP7,21(28)	Excited v=1 27  4 23 - Ground v=0 28  7 21
AsymmetricTop	Excited	26	O-	2	Ground	27	O-	4	12161.5538213768	1.73471915858758E-9	12852.4245062967	690.870684919906	0.000740073534996598	7.87713685336471	0	nP7,21(27)	Excited v=1 26  4 23 - Ground v=0 27  7 21
AsymmetricTop	Excited	26	O+	3	Ground	27	O+	4	12161.5539395566	1.73471771894278E-9	12852.4246244765	690.870684919906	0.000740072920808989	7.87713054576047	0	nP7,20(27)	Excited v=1 26  4 22 - Ground v=0 27  7 20
AsymmetricTop	Excited	25	O-	2	Ground	26	O-	4	12161.9241079037	1.6028742307656E-9	12834.8110804747	672.886972571014	0.000616589940256248	6.82079997450742	0	nP7,20(26)	Excited v=1 25  4 22 - Ground v=0 26  7 20
AsymmetricTop	Excited	25	O+	3	Ground	26	O+	4	12161.9241945791	1.60287325512599E-9	12834.8111671501	672.886972571014	0.000616589564949466	6.82079596864483	0	nP7,19(26)	Excited v=1 25  4 21 - Ground v=0 26  7 19
AsymmetricTop	Excited	24	O-	2	Ground	25	O-	4	12162.306112018	1.4645692699802E-9	12817.8754825178	655.569370499782	0.000509944695382463	5.87187735630144	0	nP7,19(25)	Excited v=1 24  4 21 - Ground v=0 25  7 19
AsymmetricTop	Excited	24	O+	3	Ground	25	O+	4	12162.3061747896	1.46456862436295E-9	12817.8755452893	655.569370499781	0.00050994447058661	5.87187485875397	0	nP7,18(25)	Excited v=1 24  4 20 - Ground v=0 25  7 18
AsymmetricTop	Excited	23	O-	2	Ground	24	O-	4	12162.6997936992	1.32244205863438E-9	12801.6176671005	638.91787340136	0.000418379944540104	5.02302280676195	0	nP7,18(24)	Excited v=1 23  4 20 - Ground v=0 24  7 18
AsymmetricTop	Excited	23	O+	3	Ground	24	O+	4	12162.6998385401	1.32244164218701E-9	12801.6177119415	638.91787340136	0.000418379812788979	5.02302128052868	0	nP7,17(24)	Excited v=1 23  4 19 - Ground v=0 24  7 17
AsymmetricTop	Excited	22	O-	2	Ground	22	O+	4	12178.4244166868	1.40874976931668E-9	12786.0375906108	607.613173924036	0.000372207151451145	4.685411105338	0	nQ7,15(22)	Excited v=1 22  4 19 - Ground v=0 22  7 15
AsymmetricTop	Excited	22	O+	3	Ground	22	O-	4	12178.4244482441	1.4087494574697E-9	12786.0376221681	607.613173924036	0.000372207069057752	4.6854101045782	0	nQ7,16(22)	Excited v=1 22  4 18 - Ground v=0 22  7 16
AsymmetricTop	Excited	23	O-	2	Ground	23	O+	4	12178.6851909255	1.62989581866993E-9	12801.6176671005	622.932476175	0.000470327045342492	5.66898745683656	0	nQ7,16(23)	Excited v=1 23  4 20 - Ground v=0 23  7 16
AsymmetricTop	Excited	23	O+	3	Ground	23	O-	4	12178.6852357665	1.62989530607378E-9	12801.6177119415	622.932476175	0.000470326897426393	5.66898573657942	0	nQ7,17(23)	Excited v=1 23  4 19 - Ground v=0 23  7 17
AsymmetricTop	Excited	24	O-	2	Ground	24	O+	4	12178.9576091165	1.85784268085396E-9	12817.8754825178	638.91787340136	0.000587764214473471	6.79578460366911	0	nQ7,17(24)	Excited v=1 24  4 21 - Ground v=0 24  7 17
AsymmetricTop	Excited	24	O+	3	Ground	24	O-	4	12178.957671888	1.8578418630677E-9	12817.8755452893	638.91787340136	0.000587763955751083	6.79578171737507	0	nQ7,18(24)	Excited v=1 24  4 20 - Ground v=0 24  7 18
AsymmetricTop	Excited	25	O-	2	Ground	25	O+	4	12179.2417099749	2.08851758102662E-9	12834.8110804747	655.569370499781	0.000727195690560905	8.07874791864891	0	nQ7,18(25)	Excited v=1 25  4 22 - Ground v=0 25  7 18
AsymmetricTop	Excited	25	O+	3	Ground	25	O-	4	12179.2417966503	2.08851631184441E-9	12834.8111671501	655.569370499782	0.000727195248647541	8.07874318171292	0	nQ7,19(25)	Excited v=1 25  4 21 - Ground v=0 25  7 19
AsymmetricTop	Excited	26	O-	2	Ground	26	O+	4	12179.5375337257	2.31760990668006E-9	12852.4245062967	672.886972571014	0.000891532801806032	9.53138559035905	0	nQ7,19(26)	Excited v=1 26  4 23 - Ground v=0 26  7 19
AsymmetricTop	Excited	26	O+	3	Ground	26	O-	4	12179.5376519055	2.31760798673345E-9	12852.4246244765	672.886972571014	0.000891532063245424	9.53137797185357	0	nQ7,20(26)	Excited v=1 26  4 22 - Ground v=0 26  7 20
AsymmetricTop	Excited	27	O-	2	Ground	27	O+	4	12179.8451220812	2.54071540572428E-9	12870.7158070011	690.870684919906	0.001083931207208	11.167771414635	0	nQ7,20(27)	Excited v=1 27  4 24 - Ground v=0 27  7 20
AsymmetricTop	Excited	27	O+	3	Ground	27	O-	4	12179.845281346	2.5407125698277E-9	12870.7159662659	690.870684919906	0.0010839299973453	11.1677593874802	0	nQ7,21(27)	Excited v=1 27  4 23 - Ground v=0 27  7 21
AsymmetricTop	Excited	28	O-	2	Ground	28	O+	4	12180.1645182168	2.75348268718479E-9	12889.6850312722	709.520513055412	0.00130780097997928	13.0025476423452	0	nQ7,21(28)	Excited v=1 28  4 25 - Ground v=0 28  7 21
AsymmetricTop	Excited	28	O+	3	Ground	28	O-	4	12180.1647305386	2.75347859086746E-9	12889.685243594	709.520513055412	0.00130779903438222	13.0025289786098	0	nQ7,22(28)	Excited v=1 28  4 24 - Ground v=0 28  7 22
AsymmetricTop	Excited	29	O-	2	Ground	29	O+	4	12180.4957667432	2.95175544794503E-9	12909.3322294338	728.836462690615	0.00156681674074633	15.0509278840687	0	nQ7,22(29)	Excited v=1 29  4 26 - Ground v=0 29  7 22
AsymmetricTop	Excited	29	O+	3	Ground	29	O-	4	12180.4960469622	2.95174965380177E-9	12909.3325096528	728.836462690614	0.00156681366516611	15.0508993786382	0	nQ7,23(29)	Excited v=1 29  4 25 - Ground v=0 29  7 23
AsymmetricTop	Excited	30	O-	2	Ground	30	O+	4	12180.8389136763	3.13170434180944E-9	12929.6574534191	748.818539742738	0.00186492784108932	17.3287000710532	0	nQ7,23(30)	Excited v=1 30  4 27 - Ground v=0 30  7 23
AsymmetricTop	Excited	30	O+	3	Ground	30	O-	4	12180.8392800502	3.13169630648415E-9	12929.6578197929	748.818539742737	0.00186492305605848	17.3286571727119	0	nQ7,24(30)	Excited v=1 30  4 26 - Ground v=0 30  7 24
AsymmetricTop	Excited	29	E-	2	Ground	30	E-	3	12212.8754583847	2.1996041709306E-9	12845.1999554998	632.324497115021	0.000669975889580177	19.4618620585808	0	nP6,25(30)	Excited v=1 29  3 27 - Ground v=0 30  6 25
AsymmetricTop	Excited	29	E+	2	Ground	30	E+	4	12212.8988704432	2.19933024255824E-9	12845.2233675588	632.324497115572	0.000669892453931749	19.4595502810808	0	nP6,24(30)	Excited v=1 29  3 26 - Ground v=0 30  6 24
AsymmetricTop	Excited	28	E-	2	Ground	29	E-	3	12213.2062453653	2.09523956876852E-9	12825.5483243979	612.342079032574	0.000568858204128781	17.1057328904274	0	nP6,24(29)	Excited v=1 28  3 26 - Ground v=0 29  6 24
AsymmetricTop	Excited	28	E+	2	Ground	29	E+	4	12213.2252768517	2.0950272330505E-9	12825.5673558847	612.34207903294	0.000568800554915533	17.1040793198206	0	nP6,23(29)	Excited v=1 28  3 25 - Ground v=0 29  6 23
AsymmetricTop	Excited	27	E-	2	Ground	28	E-	3	12213.5491647267	1.97679588115577E-9	12806.5749860765	593.025821349809	0.000480233967461515	14.9671559175423	0	nP6,23(28)	Excited v=1 27  3 25 - Ground v=0 28  6 23
AsymmetricTop	Excited	27	E+	2	Ground	28	E+	4	12213.5645193641	1.97663409943776E-9	12806.5903407141	593.02582135005	0.00048019466493376	14.965987444603	0	nP6,22(28)	Excited v=1 27  3 24 - Ground v=0 28  6 22
AsymmetricTop	Excited	26	E-	2	Ground	27	E-	3	12213.9041725251	1.84647266002485E-9	12788.2798884757	574.375715950633	0.000402920743721971	13.032589759949	0	nP6,22(27)	Excited v=1 26  3 24 - Ground v=0 27  6 22
AsymmetricTop	Excited	26	E+	2	Ground	27	E+	4	12213.9164610119	1.84635161894048E-9	12788.2921769627	574.37571595079	0.000402894331219841	13.0317747737884	0	nP6,21(27)	Excited v=1 26  3 23 - Ground v=0 27  6 21
AsymmetricTop	Excited	25	E-	2	Ground	26	E-	3	12214.2712235869	1.70674357501074E-9	12770.662978586	556.391754999088	0.000335811596478967	11.2889002165397	0	nP6,21(26)	Excited v=1 25  3 23 - Ground v=0 26  6 21
AsymmetricTop	Excited	25	E+	2	Ground	26	E+	4	12214.280973009	1.70665474527483E-9	12770.6727280082	556.391754999187	0.000335794118718662	11.2883397017324	0	nP6,20(26)	Excited v=1 25  3 22 - Ground v=0 26  6 20
AsymmetricTop	Excited	24	E-	2	Ground	25	E-	3	12214.650271783	1.56028177075618E-9	12753.7242027223	539.073930939304	0.000277872818058972	9.7233638738571	0	nP6,20(25)	Excited v=1 24  3 22 - Ground v=0 25  6 20
AsymmetricTop	Excited	24	E+	2	Ground	25	E+	4	12214.6579344033	1.5602179045063E-9	12753.7318653427	539.073930939365	0.000277861444027043	9.72298417071227	0	nP6,19(25)	Excited v=1 24  3 21 - Ground v=0 25  6 19
AsymmetricTop	Excited	23	E-	2	Ground	24	E-	3	12215.0412702995	1.40987611101588E-9	12737.463506795	522.422236495458	0.000228141626578046	8.32367153848133	0	nP6,19(24)	Excited v=1 23  3 21 - Ground v=0 24  6 19
AsymmetricTop	Excited	23	E+	2	Ground	24	E+	4	12215.0472317385	1.40983118821813E-9	12737.469468234	522.422236495496	0.000228134357315167	8.32341850832996	0	nP6,18(24)	Excited v=1 23  3 20 - Ground v=0 24  6 18
AsymmetricTop	Excited	22	E-	2	Ground	23	E-	3	12215.4441719036	1.25834170182254E-9	12721.8808365754	506.436664671741	0.00018572383250377	7.07793150143009	0	nP6,18(23)	Excited v=1 22  3 20 - Ground v=0 23  6 18
AsymmetricTop	Excited	22	E+	2	Ground	23	E+	4	12215.4487587243	1.25831083755254E-9	12721.8854233961	506.436664671764	0.000185719277119113	7.07776586877358	0	nP6,17(23)	Excited v=1 22  3 19 - Ground v=0 23  6 17
AsymmetricTop	Excited	21	E-	2	Ground	21	E+	4	12230.5122756558	1.4152997806564E-9	12706.9761379571	476.463862301328	0.000175793615024424	7.03707253601281	0	nQ6,15(21)	Excited v=1 21  3 19 - Ground v=0 21  6 15
AsymmetricTop	Excited	21	E+	2	Ground	21	E-	3	12230.5157623698	1.41527343229441E-9	12706.9796246711	476.46386230132	0.000175790342308723	7.03694754653949	0	nQ6,16(21)	Excited v=1 21  3 18 - Ground v=0 21  6 16
